group,x,y
dino,55.3846,97.1795
dino,51.5385,96.0256
dino,46.1538,94.4872
dino,42.8205,91.4103
dino,40.7692,88.3333
dino,38.7179,84.8718
dino,35.641,79.8718
dino,33.0769,77.5641
dino,28.9744,74.4872
dino,26.1538,71.4103
dino,23.0769,66.4103
dino,22.3077,61.7949
dino,22.3077,57.1795
dino,23.3333,52.9487
dino,25.8974,51.0256
dino,29.4872,51.0256
dino,32.8205,51.0256
dino,35.3846,51.4103
dino,40.2564,51.4103
dino,44.1026,52.9487
dino,46.6667,54.1026
dino,50.0,55.2564
dino,53.0769,55.641
dino,56.6667,56.0256
dino,59.2308,57.9487
dino,61.2821,62.1795
dino,61.5385,66.4103
dino,61.7949,69.1026
dino,57.4359,55.2564
dino,54.8718,49.8718
dino,52.5641,46.0256
dino,48.2051,38.3333
dino,49.4872,42.1795
dino,51.0256,44.1026
dino,45.3846,36.4103
dino,42.8205,32.5641
dino,38.7179,31.4103
dino,35.1282,30.2564
dino,32.5641,32.1795
dino,30.0,36.7949
dino,33.5897,41.4103
dino,36.6667,45.641
dino,38.2051,49.1026
dino,29.7436,36.0256
dino,29.7436,32.1795
dino,30.0,29.1026
dino,32.0513,26.7949
dino,35.8974,25.2564
dino,41.0256,25.2564
dino,44.1026,25.641
dino,47.1795,28.718
dino,49.4872,31.4103
dino,51.5385,34.8718
dino,53.5897,37.5641
dino,55.1282,40.641
dino,56.6667,42.1795
dino,59.2308,44.4872
dino,62.3077,46.0256
dino,64.8718,46.7949
dino,67.9487,47.9487
dino,70.5128,53.718
dino,71.5385,60.641
dino,71.5385,64.4872
dino,69.4872,69.4872
dino,46.9231,79.8718
dino,48.2051,84.1026
dino,50.0,85.2564
dino,53.0769,85.2564
dino,55.3846,86.0256
dino,56.6667,86.0256
dino,56.1538,82.9487
dino,53.8462,80.641
dino,51.2821,78.718
dino,50.0,78.718
dino,47.9487,77.5641
dino,29.7436,59.8718
dino,29.7436,62.1795
dino,31.2821,62.5641
dino,57.9487,99.4872
dino,61.7949,99.1026
dino,64.8718,97.5641
dino,68.4615,94.1026
dino,70.7692,91.0256
dino,72.0513,86.4103
dino,73.8462,83.3333
dino,75.1282,79.1026
dino,76.6667,75.2564
dino,77.6923,71.4103
dino,79.7436,66.7949
dino,81.7949,60.2564
dino,83.3333,55.2564
dino,85.1282,51.4103
dino,86.4103,47.5641
dino,87.9487,46.0256
dino,89.4872,42.5641
dino,93.3333,39.8718
dino,95.3846,36.7949
dino,98.2051,33.718
dino,56.6667,40.641
dino,59.2308,38.3333
dino,60.7692,33.718
dino,63.0769,29.1026
dino,64.1026,25.2564
dino,64.359,24.1026
dino,74.359,22.9487
dino,71.2821,22.9487
dino,67.9487,22.1795
dino,65.8974,20.2564
dino,63.0769,19.1026
dino,61.2821,19.1026
dino,58.7179,18.3333
dino,55.1282,18.3333
dino,52.3077,18.3333
dino,49.7436,17.5641
dino,47.4359,16.0256
dino,44.8718,13.718
dino,48.7179,14.8718
dino,51.2821,14.8718
dino,54.1026,14.8718
dino,56.1538,14.1026
dino,52.0513,12.5641
dino,48.7179,11.0256
dino,47.1795,9.8718
dino,46.1538,6.0256
dino,50.5128,9.4872
dino,53.8462,10.2564
dino,57.4359,10.2564
dino,60.0,10.641
dino,64.1026,10.641
dino,66.9231,10.641
dino,71.2821,10.641
dino,74.359,10.641
dino,78.2051,10.641
dino,67.9487,8.718
dino,68.4615,5.2564
dino,68.2051,2.9487
dino,37.6923,25.7692
dino,39.4872,25.3846
dino,91.2821,41.5385
dino,50.0,95.7692
dino,47.9487,95.0
dino,44.1026,92.6923
away,32.33111023,61.41110125
away,53.42146288,26.18688039
away,63.92020226,30.83219392
away,70.28950572,82.53364859
away,34.11883024,45.73455132
away,67.6707164,37.11094797
away,53.25912941,97.4757711
away,63.51498087,25.10007858
away,67.98053881,80.95716522
away,67.3724659,29.7204002
away,15.56074952,80.06564029
away,71.79076769,71.06546666
away,70.24254644,24.10959755
away,64.93743554,81.55420499
away,62.21352455,21.475839
away,67.26940048,18.70896837
away,40.57019704,79.37296348
away,74.74118133,21.1016372
away,71.76831892,20.01106184
away,76.16691981,75.9361704
away,65.62365744,15.58280335
away,50.85063364,13.98760163
away,33.02407002,24.46783039
away,39.70632617,84.2752871
away,45.59648495,9.763348849
away,42.96804691,17.9454584
away,52.49440678,16.0511142
away,46.08227578,23.11045782
away,74.24770821,20.31418781
away,64.56826419,83.6396339
away,74.02169391,76.12827451
away,62.39118056,5.623070761
away,74.18903668,68.13358322
away,28.23678194,56.13959645
away,75.77193879,69.82923003
away,75.85522947,62.51704429
away,65.97085702,72.744856
away,21.77804048,6.616625307
away,67.75979625,72.42120153
away,78.61719534,52.57525731
away,68.50770819,15.45691897
away,74.88502116,25.41660632
away,66.45490366,19.83662865
away,77.3178021,48.39834644
away,58.91246032,75.66775622
away,57.61744782,8.194800603
away,76.0882258,59.67993002
away,57.46605055,1.504418175
away,79.42838349,45.21079429
away,76.35652215,10.41824113
away,64.40507526,78.58417608
away,40.63504181,73.39475037
away,43.94986459,75.95871567
away,30.99622058,71.69440494
away,68.23076899,80.87250166
away,72.04638946,12.91800673
away,46.59276797,84.97238278
away,49.25721834,81.88140323
away,42.78176125,12.99118843
away,65.4759522,14.27458564
away,71.96508265,17.71023594
away,32.14646234,43.48170944
away,31.8384977,71.81216539
away,31.00525826,40.68250301
away,80.47089432,49.50214835
away,71.96416711,41.87428267
away,78.07942144,93.13331677
away,41.67759577,30.20126408
away,65.95359519,31.14740608
away,62.93445937,31.9163907
away,64.37379798,28.86258341
away,72.50932836,39.54013025
away,30.05228987,96.61754235
away,28.00332424,46.67219195
away,75.40122686,88.63907662
away,38.98001542,87.32216069
away,65.21991355,84.68295493
away,73.05398996,29.38080856
away,34.39836164,59.5444469
away,43.49045013,40.78254207
away,55.13873797,30.72576036
away,43.68439343,32.82300987
away,35.90360973,91.11186308
away,45.37801888,29.16921665
away,39.77748287,43.75581895
away,38.66446116,33.31723848
away,39.04403669,84.67601083
away,91.63996144,79.40660306
away,47.48813268,85.38993338
away,44.59021258,22.03401164
away,39.08961455,70.46619408
away,42.22937838,19.91406841
away,37.00038714,60.26427925
away,39.05208648,70.65250285
away,37.48841474,60.81440485
away,69.35955946,65.5213546
away,43.54277593,62.46031128
away,39.81123025,65.33483281
away,70.06892594,7.593465609
away,70.04054358,77.1438066
away,39.50578908,74.85162722
away,62.51689085,66.48473224
away,72.13992541,0.015119325
away,45.25157607,70.00342132
away,42.06330456,2.335196612
away,36.35569515,6.00584865
away,30.39182766,42.75961287
away,36.44900385,50.54626907
away,40.467576,60.02751209
away,81.7246168,6.037544846
away,48.8231975,76.63533058
away,35.62056177,57.28601558
away,50.58396311,71.8066161
away,61.85646511,71.79274316
away,39.32375603,59.30081967
away,42.18567914,66.03489782
away,30.84691899,37.3416401
away,29.34620043,42.14874183
away,82.11055798,1.210551663
away,38.30200581,60.01778579
away,56.58415302,70.51251481
away,33.33937429,0.509106735
away,78.77423904,35.48410121
away,27.92264424,25.98687818
away,71.69786512,10.86814451
away,74.13833139,49.17391898
away,32.57902007,1.808115597
away,59.83218542,69.15250814
away,35.03062855,12.53664934
away,74.30011983,42.47709459
away,63.25019706,65.9524862
away,34.17307376,25.69367431
away,40.91383193,38.55901955
away,62.83329309,62.51089423
away,42.47679238,56.73128997
away,52.03345628,64.56666203
away,48.90704296,74.28774883
away,59.85183839,72.95839097
away,48.9604602,72.62952573
away,46.84485517,36.79171369
away,39.96302158,42.94491485
away,66.704944,32.01509543
h_lines,53.36656687,90.20803001
h_lines,52.80197936,90.08806451
h_lines,47.05412988,90.45893603
h_lines,42.44843378,89.50770012
h_lines,42.70403632,90.44262886
h_lines,32.37893863,90.14414263
h_lines,32.53070274,70.15739651
h_lines,33.36526443,70.45933544
h_lines,32.65609918,70.0510705
h_lines,22.95509327,70.42689515
h_lines,27.14984363,70.21080584
h_lines,26.16690928,70.50031512
h_lines,26.33145708,50.49455653
h_lines,22.00370914,50.49944012
h_lines,23.28474798,50.47435283
h_lines,27.63403839,50.50366686
h_lines,32.037108,50.50006612
h_lines,29.33651065,50.46189397
h_lines,40.81695313,50.4877602
h_lines,42.73907512,50.48315599
h_lines,51.86789377,50.49327326
h_lines,43.37100189,50.50083732
h_lines,53.0427983,50.48750387
h_lines,56.6189103,50.50337402
h_lines,70.56828982,50.49623612
h_lines,67.87088729,70.06802613
h_lines,58.82154659,70.45578175
h_lines,60.18692784,70.48355125
h_lines,59.43551748,50.42063261
h_lines,49.58584348,50.43498138
h_lines,41.77974178,50.47064228
h_lines,46.12768634,30.44941078
h_lines,38.03378377,50.49089952
h_lines,44.54684128,50.41591338
h_lines,46.2381176,30.49561294
h_lines,49.73974533,30.47272489
h_lines,39.11025189,30.47869518
h_lines,39.14283779,30.79285594
h_lines,34.62547027,30.49974103
h_lines,34.75420747,30.495865
h_lines,36.75370024,50.5293043
h_lines,37.01935129,50.4926667
h_lines,41.41711528,50.46977342
h_lines,22.81710748,30.43604034
h_lines,34.80070146,30.49793139
h_lines,27.8918898,30.48497026
h_lines,32.87063916,30.50234175
h_lines,37.79404941,30.49263834
h_lines,35.6673163,30.52203505
h_lines,48.4422995,30.50172278
h_lines,58.66937326,30.50683789
h_lines,47.91695544,30.48672575
h_lines,51.89416639,30.49475568
h_lines,51.74908916,30.47299334
h_lines,58.246553,50.44287449
h_lines,57.31069687,50.48251329
h_lines,67.96804811,50.45215891
h_lines,65.94931927,50.49424079
h_lines,55.74709281,50.4789748
h_lines,68.40301004,50.49862723
h_lines,76.69646563,50.49383056
h_lines,67.21483712,70.26002844
h_lines,72.30200573,70.22043738
h_lines,66.76325739,70.47386171
h_lines,51.68030044,89.99702755
h_lines,53.09655736,89.54024371
h_lines,42.24229294,89.70857859
h_lines,56.23387566,89.63530816
h_lines,54.68098658,89.96459946
h_lines,57.90268661,89.61840173
h_lines,51.82026255,89.8341304
h_lines,56.82839534,89.58366473
h_lines,58.27227859,69.90027296
h_lines,51.82812745,70.35264921
h_lines,44.84998426,70.39520297
h_lines,24.27038239,50.48556769
h_lines,34.74247144,70.33993489
h_lines,37.79931493,70.46953588
h_lines,49.78694106,89.65804699
h_lines,59.75149741,89.73193252
h_lines,64.77479924,90.13231674
h_lines,70.8444476,89.92420902
h_lines,70.60594551,90.04206196
h_lines,78.64248839,89.55120323
h_lines,70.81069225,89.59265401
h_lines,66.76994662,70.42337521
h_lines,73.33636816,70.31692717
h_lines,73.10514816,70.30051188
h_lines,74.67825414,70.44531419
h_lines,80.24025095,70.35430896
h_lines,70.94684907,50.47270179
h_lines,88.66266381,50.45532602
h_lines,84.40595283,50.49486589
h_lines,75.98710471,50.49196696
h_lines,91.11208542,50.48938939
h_lines,98.28812327,30.60391937
h_lines,95.06527484,30.50040287
h_lines,95.24923396,30.45945421
h_lines,49.65612629,50.43131987
h_lines,63.01860093,30.49258193
h_lines,70.5382006,30.48355825
h_lines,70.08686977,30.51004482
h_lines,62.68569044,30.54642456
h_lines,69.23941796,30.50600524
h_lines,80.40023368,30.48500637
h_lines,74.64787823,30.67386286
h_lines,65.99527272,30.47502419
h_lines,67.088559,30.49452395
h_lines,59.85257703,10.54318778
h_lines,53.74899007,10.52257453
h_lines,58.23909552,10.49489903
h_lines,54.8103005,10.72492928
h_lines,52.97671232,10.85949028
h_lines,52.20389393,10.49563692
h_lines,50.74516224,10.52490557
h_lines,42.71319362,10.48754724
h_lines,45.31722551,10.49587339
h_lines,53.11691504,10.5068606
h_lines,57.04980182,10.50813694
h_lines,54.85463095,10.46391519
h_lines,54.92484256,10.49833194
h_lines,63.30955403,10.48881424
h_lines,49.74949841,10.48580291
h_lines,41.16931042,10.49730024
h_lines,46.6883405,10.50753214
h_lines,52.41892192,10.49590636
h_lines,50.87848838,10.50308987
h_lines,57.05330614,10.51406924
h_lines,70.78645116,10.51369504
h_lines,56.77214957,10.50327235
h_lines,75.47722202,10.51856804
h_lines,76.76591215,10.49699906
h_lines,77.62104913,10.49587423
h_lines,65.41448705,10.68184013
h_lines,69.9647805,10.50723293
h_lines,64.96973826,10.48215951
h_lines,38.05024078,30.40794603
h_lines,42.22412022,30.49803716
h_lines,87.69846429,50.48993653
h_lines,52.36033107,89.70431701
h_lines,51.40678679,89.71213855
h_lines,43.58846847,89.74553655
v_lines,50.48150817,93.22270137
v_lines,50.28240567,97.60998357
v_lines,50.18670334,99.69468014
v_lines,50.32691086,90.02205349
v_lines,50.45620733,89.98741013
v_lines,30.46484693,82.08923208
v_lines,30.50159647,82.30712635
v_lines,30.48956923,77.72988014
v_lines,30.45024833,79.8348944
v_lines,30.5183948,68.25258294
v_lines,30.51166121,66.09371818
v_lines,30.49807771,62.38498503
v_lines,30.62022775,60.86008215
v_lines,30.49218542,55.87891689
v_lines,30.47463433,52.32215964
v_lines,30.50099808,48.06969968
v_lines,30.49442136,45.77347553
v_lines,30.49954455,49.38209975
v_lines,50.14439298,47.01428364
v_lines,49.91289859,55.58783891
v_lines,50.33742749,57.95531428
v_lines,50.4189792,60.52491173
v_lines,50.20525897,57.92421717
v_lines,50.43531516,56.43932247
v_lines,69.5057889,59.28492483
v_lines,69.53407098,64.89297733
v_lines,69.51010693,61.32962443
v_lines,69.52632289,56.99527913
v_lines,49.94723996,48.22957673
v_lines,50.06310413,58.08503756
v_lines,50.48990237,39.20541197
v_lines,49.68886384,42.01851441
v_lines,50.33348111,43.58867148
v_lines,50.44675142,57.23058894
v_lines,50.4209092,43.3479569
v_lines,50.37405205,32.91824062
v_lines,30.47682991,39.42460559
v_lines,30.50347435,38.34855614
v_lines,30.50483493,28.77148799
v_lines,30.46221846,32.75047203
v_lines,30.49130262,43.56137408
v_lines,30.44965384,44.995123
v_lines,30.48599422,47.34794647
v_lines,30.50207679,36.44121292
v_lines,30.47805889,28.02058049
v_lines,30.50116088,38.31413856
v_lines,30.50477302,26.41662567
v_lines,30.50911533,22.82554712
v_lines,50.11563217,16.69400655
v_lines,50.44830134,21.64025646
v_lines,50.17317743,29.17786439
v_lines,49.92274192,38.44047291
v_lines,50.31129937,26.86048827
v_lines,50.39940961,38.96383892
v_lines,50.33736264,40.91338614
v_lines,50.2023181,47.212948
v_lines,50.27493261,49.62349934
v_lines,69.49438031,52.61241071
v_lines,69.51933976,47.38453371
v_lines,69.52918261,57.84126668
v_lines,69.4957555,58.78507316
v_lines,69.19905771,60.41895732
v_lines,69.55109144,58.40109827
v_lines,69.50668432,68.08446679
v_lines,50.44411755,75.01329951
v_lines,50.46722938,90.28146451
v_lines,50.21088198,80.94177171
v_lines,50.20540696,90.6405359
v_lines,50.43829066,92.35476027
v_lines,50.37351885,82.21920572
v_lines,50.25368369,81.74382872
v_lines,50.25047086,71.95138521
v_lines,50.08705836,73.95187363
v_lines,50.23107188,80.64738706
v_lines,50.20774112,73.11450352
v_lines,30.49950617,53.61252767
v_lines,30.52036124,65.10040907
v_lines,30.45495589,63.50177878
v_lines,50.41647723,97.26969196
v_lines,69.52506938,93.59805021
v_lines,69.5202566,97.19387602
v_lines,69.49897007,92.12048993
v_lines,69.52861566,91.62208824
v_lines,69.49976693,84.47968329
v_lines,69.50380137,81.81540562
v_lines,69.4875894,81.83598756
v_lines,69.51911573,71.11596722
v_lines,69.50437629,70.49344382
v_lines,69.51257301,61.49756395
v_lines,89.49420056,62.23432697
v_lines,89.50012405,53.21633062
v_lines,89.49024625,48.89079655
v_lines,89.49778562,46.62990667
v_lines,89.50485113,48.42340816
v_lines,89.50105265,43.3473437
v_lines,89.48884125,40.62509122
v_lines,89.50162353,45.81517919
v_lines,89.49752966,33.90137267
v_lines,50.43909202,37.6707718
v_lines,50.17985013,36.80755934
v_lines,69.50507067,33.7401525
v_lines,69.57986705,21.93523675
v_lines,69.50647195,22.72866287
v_lines,69.49947887,16.33746998
v_lines,69.50026475,27.13602399
v_lines,69.50415652,23.6689181
v_lines,69.53227958,21.85090082
v_lines,69.50011149,11.79162601
v_lines,69.50481542,15.61435826
v_lines,69.50347452,17.16908977
v_lines,50.37740199,16.50601506
v_lines,50.33942548,18.72345069
v_lines,50.0936501,11.60771342
v_lines,49.93412717,22.25613974
v_lines,50.28881861,13.43641047
v_lines,50.28799443,12.87228221
v_lines,50.2347207,20.40447292
v_lines,50.27970164,15.60873757
v_lines,50.25300672,11.30208425
v_lines,50.47414112,12.46199667
v_lines,50.10843997,18.25904434
v_lines,49.91905825,3.716853886
v_lines,50.08366451,10.2358819
v_lines,50.35226084,12.46860053
v_lines,50.49757224,7.409625234
v_lines,50.01630583,16.25368479
v_lines,50.46822122,13.35670246
v_lines,69.55067898,9.032987569
v_lines,69.51867275,15.18048643
v_lines,69.50345741,16.87831327
v_lines,69.49948683,10.20782668
v_lines,69.52752968,9.992296666
v_lines,69.51909526,11.4226857
v_lines,69.56189943,15.99980379
v_lines,69.50104452,5.955833539
v_lines,69.52463598,2.73476017
v_lines,30.49959371,26.08556157
v_lines,30.48739171,19.77947037
v_lines,89.50018047,31.97891744
v_lines,50.41027163,98.62836944
v_lines,50.32592439,94.99463085
v_lines,50.1040315,95.08853802
x_shape,38.33775718,92.47271905
x_shape,35.75187079,94.11676803
x_shape,32.76721796,88.51829458
x_shape,33.72960678,88.62226579
x_shape,37.23824933,83.72492841
x_shape,36.02719822,82.04078065
x_shape,39.23928078,79.26372384
x_shape,39.78452494,82.2605659
x_shape,35.16602939,84.15649198
x_shape,40.62211592,78.54210421
x_shape,39.18190709,79.8190372
x_shape,42.43088899,75.13363464
x_shape,43.08125586,75.34670164
x_shape,44.36071943,70.47420705
x_shape,44.32477884,71.0459044
x_shape,47.5521602,66.46040372
x_shape,48.66492462,64.96100494
x_shape,46.28063196,68.02842315
x_shape,50.56324448,62.62382797
x_shape,52.63096423,59.96393579
x_shape,54.63620644,57.49384244
x_shape,51.34602714,61.60055304
x_shape,57.13485535,53.8779658
x_shape,54.17124157,58.0598079
x_shape,50.94238231,62.09739394
x_shape,66.51292446,59.07128185
x_shape,64.3979095,56.1748754
x_shape,68.68659329,62.23734399
x_shape,65.02779371,57.09625735
x_shape,53.30450317,40.88384455
x_shape,52.94517809,40.38462569
x_shape,45.2257382,30.55522592
x_shape,50.84330462,37.7446281
x_shape,49.65929394,36.27344274
x_shape,47.14278893,32.02506417
x_shape,41.27005653,21.72181715
x_shape,47.13012716,31.30990292
x_shape,40.91597158,23.54159239
x_shape,38.66016397,21.68954964
x_shape,42.61255083,24.19505377
x_shape,41.2090395,24.12870919
x_shape,50.64922115,37.48379074
x_shape,52.13190194,39.36460208
x_shape,39.79727127,16.08354965
x_shape,43.54988148,24.30721094
x_shape,36.71466334,17.38180986
x_shape,37.22461013,17.98006448
x_shape,40.51244785,22.96221457
x_shape,40.22206279,20.6146217
x_shape,44.12496121,23.36624529
x_shape,42.3462616,24.55832694
x_shape,44.18908437,28.77262547
x_shape,45.81424531,31.05697967
x_shape,46.64311927,31.40721906
x_shape,52.1898883,39.36779649
x_shape,51.10031736,38.09569998
x_shape,65.40083415,42.61403204
x_shape,64.85203983,43.13373484
x_shape,63.40380601,44.84749369
x_shape,65.37154887,42.69597132
x_shape,61.9080397,53.19035207
x_shape,71.826653,65.68623036
x_shape,72.65462316,66.87827761
x_shape,76.88857816,72.16547208
x_shape,43.74461968,71.26796108
x_shape,39.05424844,83.1190207
x_shape,39.93167463,79.939188
x_shape,39.76282611,76.40596745
x_shape,41.32338329,80.2118686
x_shape,41.78732323,83.98807799
x_shape,39.75564907,79.65709664
x_shape,40.7498794,77.20465729
x_shape,43.8568985,77.60984365
x_shape,42.3678225,73.63827183
x_shape,39.46295984,78.4599739
x_shape,44.51733395,70.36934983
x_shape,41.636093,76.24922292
x_shape,45.42293218,69.09550167
x_shape,42.00285627,97.83761472
x_shape,76.10562903,95.30498058
x_shape,79.20256268,92.40721563
x_shape,84.84824409,95.42480453
x_shape,81.56447532,83.79290723
x_shape,85.4461864,83.07829384
x_shape,80.31249138,76.51623895
x_shape,80.7662323,79.89606568
x_shape,82.67011248,81.71147985
x_shape,77.16362548,73.52371896
x_shape,74.07070003,68.47956429
x_shape,74.11423087,71.92636352
x_shape,68.94207546,62.63515058
x_shape,73.24200233,67.35327113
x_shape,71.86701316,34.32915759
